model,target,test_year,feature,importance
ridge_all,fwd_ret_1m,2017,z_owner_hhi_x_stock_sell_pressure,0.002947250846773386
ridge_all,fwd_ret_1m,2017,z_network_weighted_degree_x_network_peer_sell_pressure,5.784843961009756e-05
lgbm_all,fwd_ret_1m,2017,z_owner_count,633.0
lgbm_all,fwd_ret_1m,2017,z_owner_hhi,424.0
lgbm_all,fwd_ret_1m,2017,z_top_owner_share,196.0
lgbm_all,fwd_ret_1m,2017,z_fragility_proxy,316.0
lgbm_all,fwd_ret_1m,2017,z_avg_manager_breadth,330.0
lgbm_all,fwd_ret_1m,2017,z_stock_sell_pressure,1322.0
lgbm_all,fwd_ret_1m,2017,z_network_degree,696.0
lgbm_all,fwd_ret_1m,2017,z_network_weighted_degree,1064.0
lgbm_all,fwd_ret_1m,2017,z_network_peer_sell_pressure,546.0
lgbm_all,fwd_ret_1m,2017,z_mktcap_proxy,1073.0
lgbm_all,fwd_ret_1m,2017,z_vol,1075.0
lgbm_all,fwd_ret_1m,2017,z_fragility_proxy_x_stock_sell_pressure,243.0
lgbm_all,fwd_ret_1m,2017,z_fragility_proxy_x_network_peer_sell_pressure,169.0
lgbm_all,fwd_ret_1m,2017,z_owner_hhi_x_stock_sell_pressure,363.0
lgbm_all,fwd_ret_1m,2017,z_network_weighted_degree_x_network_peer_sell_pressure,190.0
lgbm_no_network,fwd_ret_1m,2017,z_owner_count,1005.0
lgbm_no_network,fwd_ret_1m,2017,z_owner_hhi,633.0
lgbm_no_network,fwd_ret_1m,2017,z_top_owner_share,337.0
lgbm_no_network,fwd_ret_1m,2017,z_fragility_proxy,438.0
lgbm_no_network,fwd_ret_1m,2017,z_avg_manager_breadth,450.0
lgbm_no_network,fwd_ret_1m,2017,z_stock_sell_pressure,1342.0
lgbm_no_network,fwd_ret_1m,2017,z_mktcap_proxy,1489.0
lgbm_no_network,fwd_ret_1m,2017,z_vol,1291.0
lgbm_no_network,fwd_ret_1m,2017,z_fragility_proxy_x_stock_sell_pressure,304.0
lgbm_no_network,fwd_ret_1m,2017,z_owner_hhi_x_stock_sell_pressure,421.0
lgbm_network_pressure,fwd_ret_1m,2017,z_stock_sell_pressure,1319.0
lgbm_network_pressure,fwd_ret_1m,2017,z_network_degree,734.0
lgbm_network_pressure,fwd_ret_1m,2017,z_network_weighted_degree,1190.0
lgbm_network_pressure,fwd_ret_1m,2017,z_network_peer_sell_pressure,534.0
lgbm_network_pressure,fwd_ret_1m,2017,z_fragility_proxy_x_stock_sell_pressure,381.0
